adjustment_key,state,resource,family,observed_output_x,output_addition_y,plausibility_haircut_z,adjusted_output,denominator_units_per_cap,base_cap,adjusted_cap,minimum_operating_floor_cap,documented_working_floor_eligible,final_audited_cap,exception_status,problem_type,adjustment_reason,earliest_commercial_activity_year,flagship_scale_year,representative_max_year,representative_max_output,year_selection_reason,gdp_geography_used,gdp_geography_level,gdp_anchor_year,gdp_value_at_anchor_year,selected_resource_year,selection_mode,gdp_distance_ratio,gdp_comparability_status,target_estimation_method,interpolation_used,comparator_included_in_denominator,comparator_basket_coverage_share,selection_note,counterevidence_status,counterevidence_note,plausibility_1936_status,observed_output_x_reason,y_basis,y_reason,y_counterevidence_trigger,y_quantification_method,z_reason,audit_class,proxy_kind,proxy_native_unit,proxy_to_slot_note,citation_1_title,citation_1_url,citation_1_locator,citation_2_title,citation_2_url,citation_2_locator,calculation_note
drakensberg::wood,Drakensberg,Wood,Wood,0.0,0.0,0.0,,33257.48168598174,0.0,,,no,1,qualitative_slot_exception,gameplay override,"Set Wood to one as a gameplay exception: Lesotho has local woodlots and shelterbelts, but the row is not treated as a commercial forestry lane.",,,1936,0.0,Representative year is audited metadata only for the forestry-capacity model; wood no longer uses GDP-selected plantation-estate rows.,,,,,,,,,,,20,,Wood is audited from direct effective commercial forestry hectares rather than GDP-selected plantation-estate observations.,supports,Lesotho's small woodlots and shelterbelts are local theoretical wood support but remain below the normal commercial-forestry threshold.,pass,Wood now uses direct effective commercial forestry hectares from audited wood land-class rows rather than observed plantation-estate area.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,"Forests, rangelands and climate change in Southern Africa",https://www.fao.org/4/i2970e/i2970e.pdf,"p. 13: Botswana, Lesotho and Namibia do not have commercial plantations, except for some small woodlots established for fuelwood and poles.",Zuidelijk Afrika als landbouw- en visserijregio voor een Victoria 3-mod,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,Lesotho is reviewed as a mountain grain-and-pastoral system rather than a forestry economy.,Explicit gameplay exception sets final cap to 1 after the potential-forestry model resolves below a normal public cap.
drakensberg::gold-fields-discovered,Drakensberg,Gold Fields (discovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
drakensberg::gold-fields-undiscovered,Drakensberg,Gold Fields (undiscovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,,,,,,,,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
drakensberg::oil-discovered,Drakensberg,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Drakensberg / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
drakensberg::oil-undiscovered,Drakensberg,Oil (undiscovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Drakensberg / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
drakensberg::rubber-discovered,Drakensberg,Rubber (discovered),Rubber,0.0,0.0,0.0,,10000.0,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,South Africa,national,2008,10977.146797,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Drakensberg / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
drakensberg::rubber-undiscovered,Drakensberg,Rubber (undiscovered),Rubber,0.0,0.0,0.0,,10000.0,0.0,,,no,0,manual_zero_exception,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Drakensberg / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,"[^les]: Lesotho is a highland pastoral and grain system, not a tropical plantation zone.",Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
botswana::coal-mine,Botswana,Coal Mine,Coal Mine,394811.17386401934,0.0,327700.0720115236,67111.10185249575,468047.3434204712,0.8435282870718913,0.14338528526206454,,no,1,,chronology moderation,"Replaced the hard zero with a formula-driven late-start coal row: Morupule is post-1936, but quantity resources with real localized output should be reduced by Z rather than blocked.",1973,2024,2024,2450000.0,The old 1936 zero anchor no longer drives the formula; Botswana coal now uses the Morupule output anchor inside the shared 1940-equivalent coal model and lets universal Z handle the late start.,Botswana,,,,2024,manual_override,,,,no,,,Mapped GDP geography lacks a value for the candidate resource years; representative year stayed manual.,supports,"Botswana's coalfields are large and state-localized, while the Palapye-Morupule commercial chain is late and spatially narrow; that is a Z penalty problem, not a manual-zero reason.",pass,Observed x uses the discounted 1940-equivalent 2024 Morupule output anchor; late commercialization is handled by the universal 1973-to-2024 chronology penalty.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,Universal quantity-resource Z applies from Morupule's 1973 commercial opening to the 2024 representative output anchor.,direct,,,,Committee of Supply – March 2025,https://www.gov.bw/sites/default/files/2025-03/Committee%20of%20Supply%20%20-%20March%202025.pdf,Morupule Coal Mine year-to-date performance as at December 2024 was 2.45 million tonnes.,Coal Classification Study | BGI,https://www.bgi.org.bw/coal-classification-study,Overview: Botswana coal resources are nationally large across the known coalfields.,Formula-driven late-start row; no manual zero and no documented-working floor are claimed.
botswana::fishing,Botswana,Fishing,Fishing,0.0,0.0,0.0,,5950.541160752551,,,,no,0,manual_zero_exception,counterfactual checked and rejected,"Kept fishing disabled in the shipped Botswana row because the documented Okavango-Chobe fishery is real but too localized, subsistence-heavy, and remote to justify a statewide commercial fishing cap.",,,1936,,No GDP-selected target row is used here; this inland fish row is held as an explicit audited exception because the Okavango-Chobe fishery is real but localized and remote.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"FAO fishery material confirms commercial and subsistence fishing in the Okavango Delta and Chobe River system, but the activity is concentrated in remote northern waterways rather than across the whole Botswana footprint.",pass,No statewide quantitative target observation is frozen for this row; the public slot would otherwise overstate a localized inland fishery.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,FISHERY COUNTRY PROFILE | Food and Agriculture Organization of the United Nations | FID/CP/BOT April 2007 None,https://www.fao.org/fishery/docs/DOCUMENT/fcp/en/FI_CP_BW.pdf,Okavango Delta production constituted about 80 per cent of national catches; the fishery is concentrated in the Delta and Chobe systems.,Okavango Delta Management Plan,https://www.ramsar.org/sites/default/files/documents/pdf/wurc/wurc_mgtplan_botswana_okavango.pdf,"Section 2.4.6 / p. 54: the delta fishery includes subsistence, commercial, and recreational lanes, but remains confined to the Okavango system.","Explicit zero retained because Botswana's fishery is a bounded northern inland niche, not a broad statewide fishing row."
botswana::gold-mine,Botswana,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,chronology,Kept the Botswana gold-mine row at zero because the local gold story is a late Francistown/Tati rush rather than a broad 1836 start-date commercial mine row.,,,1936,,No GDP-selected target row is used here; the local gold story is treated as a late precious-field chronology question rather than a start-date commercial gold-mine row.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Francistown/Tati gold is real, but the gold rush begins after 1869 and belongs in the latent Gold Fields row instead of a start-date mine cap.",pass,No direct start-date gold-mine target observation is frozen for this row; the relevant evidence is discovery chronology and localized later mining around Tati.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,About Us - C0FC,https://www.cofc.gov.bw/about-us/,Daniel Francis acquired prospecting licenses in 1869; Francistown began as a gold-mining center during the region's first gold rush.,THE CITY OF ALL THINGS PRECIOUS,https://www.cofc.gov.bw/wp-content/uploads/2025/09/THE-CITY-OF-ALL-THINGS-PRECIOUS.pdf,Francistown background: gold discovered in 1869 sparked the first gold rush in Africa and sustained the area into the 1930s.,"Explicit zero retained for Gold Mine because the Botswana gold narrative is represented, if at all, as a later precious-field discovery rather than a shipped start-date mine row."
botswana::iron-mine,Botswana,Iron Mine,Iron Mine,0.0,0.0,0.0,,63712.72421147216,,,,no,1,qualitative_slot_exception,gameplay override,"Set Iron Mine to one as a gameplay exception: Botswana has local theoretical iron support, but this is not a documented-working floor and not a commercial mine-output claim.",,,1936,,No GDP-selected target row is used here; this public cap is a gameplay-balance exception after the audit found local ironworking/prospectivity but no commercial mine-output chain.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Eastern Botswana has archaeological iron working and the Kraaipan/Tati prospect belt carries local mineral potential, but the row is kept at one for gameplay texture rather than as documented commercial output.",pass,No frozen localized commercial iron output survives the validation pass; this cap is an explicit gameplay override on local prospectivity and historical working evidence.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,Botswana Mineral Projects and Prospects 2020,https://www.bgi.org.bw/sites/default/files/Brochure%20on%20Botswana%20Mineral%20Projects%20and%20Prospects%202020%20Version.pdf,"Table 4 / p. 15: the Tati Schist belt carries nickel, copper, and gold, while Kraaipan carries iron and gold as mineral potential rather than a frozen mine-output series.",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"Eastern Botswana has iron and copper working from about AD 800, which supports flavor but not a large nineteenth-century export mine.",Explicit gameplay exception sets final cap to 1; no documented-working floor or output normalization is claimed.
botswana::lead-mine,Botswana,Lead Mine,Lead Mine,0.0,0.0,0.0,,1424.3862580391383,,,,no,0,manual_zero_exception,counterfactual checked and rejected,"Kept lead disabled because Botswana's cited lead-zinc story is a late discoverable prospect, not a defended 1836-1936 producer in the shipped state row.",,,1936,,No GDP-selected target row is used here; Botswana lead is audited as late prospectivity rather than a shipped pre-1936 producer.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Northwestern and southeastern lead-zinc potential is real, but the evidence remains prospect-stage and late relative to the 1836-1936 public row.",pass,No direct lead-output target observation is frozen for this row; the evidence base is geological potential rather than a commercial mine series.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,Botswana Mineral Projects and Prospects 2020,https://www.bgi.org.bw/sites/default/files/Brochure%20on%20Botswana%20Mineral%20Projects%20and%20Prospects%202020%20Version.pdf,"Table 4 / p. 15: the Kihabe Complex is prospective for copper, silver, lead, zinc, cobalt, germanium, and vanadium.",Kihabe project overview,https://mountburgess.com/kihabe-project/,"Kihabe/Nxuu is presented as a zinc-lead-silver project, i.e. prospect-stage evidence rather than an established nineteenth-century producer.",Explicit zero retained because the lead-zinc evidence is prospect-stage and geographically narrow.
botswana::sulfur-mine,Botswana,Sulfur Mine,Sulfur Mine,0.0,0.0,0.0,,724.5356827022321,,,,no,0,manual_zero_exception,,,,,,,,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,,,,,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,,,,,,,,,,,
botswana::whaling,Botswana,Whaling,Whaling,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept whaling disabled because the reviewed proposal registry and fisheries research do not identify this state as a meaningful commercial whaling producer in the 1836-1936 horizon.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry rejects a whaling slot here after checking the state against the family-level South Atlantic and Cape/Namibia whaling logic.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Botswana / Whaling row in the proposal registry.,agriculture and fisheries research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/agriculture and fisheries research.md,"Whaling section: keep the family on the Atlantic and Cape side, not as a generic slot for the whole coast or inland states.",Explicit zero retained for whaling because the state fails the commercial whaling slot test.
botswana::wood,Botswana,Wood,Wood,0.0,0.0,0.0,,33257.48168598174,0.0,,,no,1,qualitative_slot_exception,gameplay override,"Set Wood to one as a gameplay exception: Botswana has small woodlot and experimental-plantation support, but the row is not treated as a commercial forestry lane.",,,1936,0.0,Representative year is audited metadata only for the forestry-capacity model; wood no longer uses GDP-selected plantation-estate rows.,,,,,,,,,,,20,,Wood is audited from direct effective commercial forestry hectares rather than GDP-selected plantation-estate observations.,supports,"Botswana has small experimental plantations and woodlots plus local wooded-land support, but this remains below the normal commercial-forestry threshold.",pass,Wood now uses direct effective commercial forestry hectares from audited wood land-class rows rather than observed plantation-estate area.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,FOSA Country Report - Botswana,https://www.fao.org/4/X6774E/X6774E03.htm,"Sections 1.2.3 and 1.3.3: Botswana is arid/semi-arid, only about 6% of land suits arable agriculture, and plantations/woodlots had only modest success with less than 2,000 ha.",Tropical forest resources assessment project - Forest resource of Tropical Africa Vol. II,https://www.fao.org/4/ad910e/AD910E02.htm,"Plantations section: no significant afforestation efforts; small experimental plantations were for fuelwood, poles, and fencing posts, and afforestation had been discontinued.",Explicit gameplay exception sets final cap to 1 after the potential-forestry model resolves below a normal public cap.
botswana::gold-fields-discovered,Botswana,Gold Fields (discovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,chronology,"Kept the discovered gold-fields row at zero because Botswana's Tati/Francistown gold rush begins after 1869, not in the 1836 start-date configuration.",,,1936,,"This public row is a chronology gate: Botswana's goldfield was discovered after the 1836 start date, so the discovered slot remains disabled.",Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Francistown/Tati gold is real but enters the record through the 1869 rush, so it belongs in the latent slot rather than as an already-discovered start-date field.",pass,No start-date special-field observation is frozen for this row because the relevant gold discoveries postdate game start.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,About Us - C0FC,https://www.cofc.gov.bw/about-us/,The development of Francistown was prompted by a 19th-century gold rush after prospecting licenses were acquired in 1869.,THE CITY OF ALL THINGS PRECIOUS,https://www.cofc.gov.bw/wp-content/uploads/2025/09/THE-CITY-OF-ALL-THINGS-PRECIOUS.pdf,Francistown background: gold discovered in 1869 sparked the first gold rush in Africa and sustained the area into the 1930s.,Explicit zero retained for the discovered slot because Botswana's goldfield is late-discovery rather than start-date.
botswana::gold-fields-undiscovered,Botswana,Gold Fields (undiscovered),Gold Fields,0.0,0.0,0.0,,4.638038205553189,,,,no,1,manual_special_field_exception,chronology,Restored a minimal undiscovered gold-field row because the Francistown/Tati belt is a real local late-discovery goldfield and should not vanish from the shipped public surface.,,,1930,,Representative year is metadata only for this row; the Francistown/Tati field is a late-discovery precious-field story that remains much smaller than the Rand or Kimberley families.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Local gold is real in the Tati/Francistown belt, but its chronology and scale fit a small latent precious-field exception rather than a large start-date or always-on mine row.",pass,No clean quantitative target series is frozen for this special row; the evidence chain is historical discovery chronology and persistent local gold importance through the early twentieth century.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,THE CITY OF ALL THINGS PRECIOUS,https://www.cofc.gov.bw/wp-content/uploads/2025/09/THE-CITY-OF-ALL-THINGS-PRECIOUS.pdf,Francistown background: gold discovered in 1869 sparked the first gold rush in Africa and sustained the area into the 1930s.,"Index of the Physical Volume of Mining Production, Third Quarter 2024",https://www.statsbots.org.bw/sites/default/files/Index%20of%20the%20Physical%20Volume%20of%20Mining%20Production%2CThird%20Quarter%202024.pdf,Technical Notes / Background: mining activity in Botswana started in the 19th century with gold from the Tati Reefs in the modern Francistown area.,Explicit small special-field exception retained at 1 pending a cleaner direct production series for the Tati/Francistown belt.
botswana::oil-discovered,Botswana,Oil (discovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Botswana / Oil (discovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
botswana::oil-undiscovered,Botswana,Oil (undiscovered),Oil,0.0,0.0,0.0,,,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept oil disabled because the package still lacks a frozen localized petroleum observation or a defended discovery chain for this state.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend an oil slot here and no validated target observation survives the provenance pass.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Botswana / Oil (undiscovered) row in the proposal registry.,,,,Explicit zero retained for oil until a localized petroleum target row is frozen.
botswana::rubber-discovered,Botswana,Rubber (discovered),Rubber,0.0,0.0,0.0,,10000.0,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept discovered rubber disabled because no localized plantation chain or quantitative target observation survives the current provenance pass.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Botswana,national,2006,10665.679527,,gdp_match,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,Proposal registry does not defend a discovered rubber slot here.,pass,"No frozen quantitative target observation survives the validation pass for this row, so x is not formula-driven.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Botswana / Rubber (discovered) row in the proposal registry.,,,,Explicit zero retained for discovered rubber until localized plantation evidence is frozen.
botswana::rubber-undiscovered,Botswana,Rubber (undiscovered),Rubber,0.0,0.0,0.0,,10000.0,0.0,,,no,0,manual_zero_exception,counterfactual checked and rejected,Latent-rubber model keeps this row as an explicit zero exception because the audited state footprint does not support a bounded plantation slot.,,,1936,0.0,Representative year is audited metadata only for the latent-rubber land-capacity model; rubber no longer uses GDP-selected output rows here.,,,,,,,,,,,20,,Rubber (undiscovered) is audited from direct effective commercial plantation hectares rather than GDP-selected latex output.,supports,Proposal registry rejects a latent rubber slot here; broad tropical suitability is not enough to keep the cap enabled.,pass,Rubber (undiscovered) now uses direct effective commercial plantation hectares from audited rubber land-class rows.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Botswana / Rubber (undiscovered) row in the proposal registry.,Southern Africa comparator states ranked per region,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/southern_africa_comparator_states_ranked_per_region.md,[^bot]: Botswana is drought-prone and cattle-dominant rather than humid plantation country.,Explicit zero retained under the latent-rubber model because the audited state footprint does not support a bounded plantation slot.
louren-o-marques::coal-mine,Lourenço Marques,Coal Mine,Coal Mine,0.0,0.0,0.0,0.0,468047.3434204712,,0.0,,no,0,,,Retained a zero coal row because the reviewed Mozambican coal chain is Tete-localized and does not enter the corrected Lourenço Marques full footprint.,,,1936,0.0,The coal row was rechecked against the corrected full footprint before accepting a zero; Tete/Moatize remains outside Lourenço Marques.,Mozambique,national,1973,2986.0,,economic_peak_fallback,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Full footprint checked: the reviewed coal chain runs through Tete/Moatize/Chirodze outside Maputo, Gaza, Inhambane, south-of-Pungwe Sofala, and south-of-Pungwe Manica.",pass,"No frozen localized coal output survives the validation pass because the reviewed Mozambican coal mines are in Tete Province, outside the corrected Lourenço Marques footprint.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,The Mineral Industry of Mozambique in 2016,https://pubs.usgs.gov/myb/vol3/2016/myb3-2016-mozambique.pdf,"Coal section / p. 3 and Table 2 / p. 7: Chirodze, Minas Moatize, and the major coal operations listed in the yearbook are in Tete Province.",mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"Mozambique section: Tete / Moatize is the coal-state, while the rest of Mozambique is not prioritized for coal.",Explicit constrained zero retained after the full-footprint repair rechecked the coal family against Tete-localized mine listings.
louren-o-marques::gold-mine,Lourenço Marques,Gold Mine,Gold Mine,0.0,0.0,0.0,,4.638038205553189,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept the gold-mine slot at zero because the corrected full footprint still lacks a frozen commercial gold-mine target observation; southern Manica occurrence evidence remains unfrozen and non-driving.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Mozambique,national,1973,2986.0,,economic_peak_fallback,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Full footprint checked, including southern Manica: Manica gold occurrence/prospectivity is not converted into a capped gold-mine row without a frozen south-of-Pungwe commercial output chain or proposal-registry support.",pass,No frozen localized commercial gold output survives the validation pass for the corrected full footprint; occurrence-only Manica evidence is not formula-driving.,,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,resource_proposal.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/resource_proposal.md,Lourenço Marques / Gold Mine row in the proposal registry.,mining research.md,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,Mozambique section: gold/mineral occurrence evidence is used only when localized commercial output is frozen; Manica prospectivity alone does not create a capped row here.,Explicit zero retained after the full-footprint repair; occurrence or broad Manica prospectivity is not a cap without localized output evidence.
louren-o-marques::iron-mine,Lourenço Marques,Iron Mine,Iron Mine,0.0,0.0,0.0,,63712.72421147216,,,,no,0,manual_zero_exception,counterfactual checked and rejected,Kept iron disabled because the corrected full footprint yields no defended commercial iron row; southern Manica prospectivity is not converted into a cap.,,,1936,,No GDP-selected target row is used here; this non-land row is held as an explicit audited exception until localized quantitative evidence is frozen.,Mozambique,national,1973,2986.0,,economic_peak_fallback,,,,no,,,No direct target observation is frozen for this row; the state GDP anchor is recorded for audit context only.,supports,"Full footprint checked: southern Manica/Manica-Changara-style iron claims remain occurrence or prospectivity evidence, while the in-footprint southern Mozambique mining geography is not a documented commercial iron district in the 1836-1936 horizon.",pass,"No frozen localized commercial iron output survives the validation pass for Maputo, Gaza, Inhambane, south-of-Pungwe Sofala, or south-of-Pungwe Manica.",,No upward addition.,No counterevidence-triggered addition.,No upward addition.,No downward plausibility haircut.,exception,,,,MINERAL RESOURCES POTENTIAL IN MOZAMBIQUE,https://biblioteca.biofund.org.mz/wp-content/uploads/2019/01/1548773065-F0935.MINERAL%20RESOURCES%20POTENTIAL%20IN%20MOZAMBIQUE.pdf,"p. 4: south of the 20th parallel, the economically most interesting LOT 3 resources are gas in Pande and Temane, heavy mineral sands in Gaza and Zambezia, and construction materials in Maputo Province.",Mijnbouw in Zuidelijk Afrika voor Victoria 3,/Users/depro/Documents/Paradox Interactive/Victoria 3/mod/References/research/mining research.md,"Mozambique section: Tete / Moatize is the real coal-state, Manica / Changara are only prospect or late-discovery zones for iron and lead, and the rest of Mozambique stays low priority for the four mining rows.",Explicit zero retained after distinguishing in-footprint southern Manica from broader Manica/Changara prospectivity.
